FALSE,BRAND,STYLE,LENGTH ,Character,COLOR,OWNER
FALSE,Arda,Jane,Short,,Blonde ; Dark Ash,Lauren
FALSE,Arda,Jasmine,Long,Tetra - Zelda,Blonde ; Fairy,Silas
FALSE,Arda,Straight ; Ponytail,Long,Nowi - Fire Emblem,Blonde ; Green Tips,
FALSE,Arda,Jareth,Medium,Deidara - Naruto,Blonde ; Light,Lauren
FALSE,Arda,Jaguar,Short,Linkle - Zelda,Blonde ; Light,Lauren
FALSE,Arda,Jaguar,Short,Naruko - Naruto / Bowsette - Mario,Blonde ; Light,Lauren
FALSE,Arda,Pony Tail Clip,Long,Naruko - Naruto / Bowsette - Mario,Blonde ; Light,Lauren
FALSE,Epic,Selene,Short,Brother One - Drakengard,Blonde ; Natural,Silas
FALSE,Epic,Theia,Medium,Brother One - Drakengard,Blonde ; Natural,Silas
FALSE,Rolecos,Straight,Medium,Rengoku - Demon Slayer,Blonde ; Red Rips,Lauren
FALSE,Aiyaya,Wavy,Short,,Blonde ; Sandy,Lauren
FALSE,No Brand,Wavy ; Pigtail,Medium,Ann - Persona 5,Blonde ; Sandy,Lauren
FALSE,No Brand,Wavy ; Lacefront,Long,Mireille - Noir,Blonde ; Sandy,Silas
FALSE,No Brand,Straight,Short,Zhan Zheng Xi - 19 Days,Blonde ; Sandy,Silas
FALSE,No Brand,Wavy ; Lacefront,Medium,,Blonde ; Sandy,
FALSE,Arda,Katinka,Short,Lio - Promare,Blonde ; Titanium,Silas
FALSE,Arda,Jareth Short,Medium,Puma - Dominion Tank Police,Blonde ; Titanium,Silas
FALSE,Arda,Luthien,Medium,Luna - FF15,Blonde; Ash,Silas
FALSE,Arda,Skyelar,Short,Anna - Shaman King,Blonde; Pale,Lauren
FALSE,No Brand,Straight,Short,Slaine - Aldnoah Zero,Blonde; Pale,Silas
FALSE,No Brand,Straight ; Ponytail Lacefront,Medium,Bulma - Dragon Ball,Blue,
FALSE,Kasou,Straight,Short,Ryuko - Kill La Kill,Blue ; Dark ; Red Streak,Lauren
FALSE,No Brand,Straight,Short,Ciel - Black Butler,Blue ; Dark Slate,Silas
FALSE,Arda,Magnum Long,Short,Aqua - Kingdom Hearts,Blue ; Demin,Lauren
FALSE,Arda,Derek,Short,Kyogre - Pokemon,Blue ; Indigo,Lauren
FALSE,Angol,Straight,Long,Aqua - Konosuba,Blue ; Light,Silas
FALSE,No Brand,Straight,Short,Rei - NGE,Blue ; Light,Lauren
FALSE,Arda,Derek,Short,Poliwrath - Pokemon,Blue ; Royal,Lauren
FALSE,Aliexpress,Straight,Short,,Brown,
FALSE,Arda,Caine (Classic),Short,Victor - Arcane,Brown,
FALSE,Flovex,Straight,Short,,Brown,
FALSE,TLSD,Curly ; Ponytail,Long ,Aerith - FF7,Brown,Lauren
FALSE,Tefure,Wavy,Medium,Fashion,Brown ; Pink Gradient,Silas
FALSE,Tefure,Wavy,Short,Fashion,Brown ; Pink Gradient,Lauren
FALSE,No Brand,Straight,Short,Chie - Persona 4,Brown ; Warm,Lauren
FALSE,No Brand,Straight,Short,Mako - Kill La Kill,Brown ; Warm,Silas
FALSE,No Brand,Straight,Short,,Brown ; Warm,Lauren
FALSE,No Brand,Straight,Long,Fox Girl - Original,Brown ; Warm Sandy,Lauren
FALSE,Arda,Rocky,Short,Overhaul - Boku No Hero,Brown; Dark,Silas
FALSE,Arda,Jaguar,Short,Tracer - Overwatch,Brown; Dark,Lauren
FALSE,Mapofbeauty,Straight,Short,Megumin - Konosuba,Brown; Dark,Lauren
FALSE,No Brand,Straight ; Ponytail,Medium,Claire - Resident Evil,Brown; Dark,Silas
FALSE,Aliexpress,Straight,Short,Olivine - Nu:Carnival,Green,
FALSE,No Brand,Straight,Short,Kaworu - NGE,Grey,Silas
FALSE,Wig Is Fashion,Straight,Short,Ashe - Fire Emblem,Grey,Silas
FALSE,Epic,Nyx,Long,Asuka - NGE,Orange ; Autumn,Silas
FALSE,Angol,Straight,Long,Yuno - Mirai Nikki,Pink,Lauren
FALSE,No Brand,Wavy,Short,Sakura - Naruto,Pink,
FALSE,No Brand,Straight,Short,,Pink,
FALSE,Mapofbeauty,Wavy,Long,Fashion,Pink ; Dark Brown Split,Lauren
FALSE,No Brand,Curly,Meduim,Lightning - FF13,Pink ; Dusty,Silas
FALSE,Rolecos,Braided,Long,Mitsuri - Demon Slayer,Pink ; Green Gradient,Lauren
FALSE,No Brand,Straight,Long,Power - Chainsaw Man,Pink ; Peach,
FALSE,Arda,Ferrari,Medium,Angel Devil - Chainsaw Man,Pink ; Salmon,
FALSE,No Brand,Straight ; Middle Split,Long,Hilda - Zelda,Purple,Silas
FALSE,No Brand,Straight,Medium,,Purple,Silas
FALSE,No Brand,Straight,Medium,,Purple,
FALSE,Arda,Jaguar,Short,Poe - Zelda,Purple ; Dark,Lauren
FALSE,Xinwang,Straight ; Pigtails,Long,Tharja - Fire Emblem,Purple ; Dark,
FALSE,Xinwang,Straight ; Pigtails,Long,,Purple ; Dark,
FALSE,Arda,Jaguar,Short,Majora - Zelda,Purple ; Grape,Lauren
FALSE,Arda,Straight,Short,Yuri - Fire Emblem,Purple ; Lilac,Silas
FALSE,Wig Is Fashion,Wavy ; Lacefront,Long,Titania - Fire Emblem,Red,Silas
FALSE,Epic,Hera,Long,Android 21 - DBZ,Red ; Copper,Lauren
FALSE,Arda,Jaguar,Short,Groudon - Pokemon,Red ; Crimson,Silas
FALSE,Arda,Chibi,Medium,Ayame - Inuyasha,Red ; Dark Copper,Lauren
FALSE,Arda,Eowyn,Medium,Freyjador - Suikoden,Silver,Silas
FALSE,Arda,Venus,Long,Inuyasha - Inuyasha,Silver,Lauren
FALSE,Lucaile ,Straight,Long,Akene - Naruto OC,Silver,Lauren
FALSE,No Brand,Straight,Short,2B - Nier Automata,Silver,Lauren
FALSE,No Brand,Straight,Short,,Silver,
FALSE,No Brand,Straight,Medium,Bulma - DBZ,Teal,Lauren
FALSE,No Brand,Straight,Long,Sailor Pluto - Sailor Moon,Teal ; Dark,
FALSE,Angol,Straight,Long,Freyjador - Suikoden,White,Silas
FALSE,Arda,Magnum,Short,Rex - I Was A Teenage Exocolonist,White,
FALSE,Epic,Aether,Short,Abel - Star Fighter,White,Silas
FALSE,Epic,Scylla,Long,Impa - Zelda,White,Silas
FALSE,Epic,Theia,Meduim,Zero - Drakenguard 3 ,White,Lauren
FALSE,Epic,Theia,Meduim,,White,Lauren
FALSE,Meiya,Straight,Short,,White,
FALSE,No Brand,Straight,Short,9S - Nier Automata,White,Silas
FALSE,Arda,Wavy,Short,Alolan Ninetales - Pokemon,White ;  Blue Tips,Silas
FALSE,Lucaille,Wavy,Long,Shiro - NGNL,White ; Multi Streaks,Silas
FALSE,Monenjoy,Straight,Short,Diamond - Houseki No Kuni,White ; Prism Streaks,Lauren
